year,month,intent,police,sex,age,race,hispanic,place,education
2012,7,1,0,1,18.0,1,100,4,1.0
2012,7,2,0,1,52.0,4,100,8,2.0
2012,7,2,0,1,54.0,4,100,1,2.0
2012,7,2,0,0,41.0,4,100,1,3.0
2012,6,2,0,1,81.0,4,100,1,1.0
2012,7,2,0,1,91.0,4,100,1,2.0
2012,7,1,0,1,19.0,4,100,8,2.0
2012,6,2,0,1,40.0,4,100,1,2.0
2012,7,1,0,0,25.0,1,100,1,2.0
2012,6,2,0,1,17.0,4,100,1,1.0
2012,6,1,0,1,22.0,1,100,8,1.0
2012,7,2,0,1,28.0,4,100,1,3.0
2012,7,1,0,1,50.0,4,100,8,1.0
2012,7,2,0,1,48.0,4,100,1,2.0
2012,7,2,0,1,27.0,4,100,1,3.0
2012,7,1,0,1,19.0,1,100,3,2.0
2012,7,2,0,1,56.0,4,100,1,2.0
2012,6,2,0,0,37.0,4,100,1,3.0
2012,7,2,0,1,73.0,4,100,1,1.0
2012,7,1,0,1,65.0,1,100,1,1.0
2012,7,2,0,1,27.0,4,100,1,4.0
2012,7,2,0,1,40.0,4,100,1,2.0
2012,7,2,0,1,43.0,4,100,1,2.0
2012,7,2,0,1,45.0,4,100,1,3.0
2012,7,0,0,1,59.0,4,100,4,2.0
2012,7,2,0,1,66.0,4,100,1,2.0
2012,7,2,0,1,65.0,1,100,1,2.0
2012,6,2,0,1,33.0,0,100,4,3.0
2012,7,1,0,1,37.0,4,100,1,3.0
2012,7,2,0,1,71.0,4,100,1,2.0
2012,7,2,0,1,38.0,4,100,8,1.0
2012,8,2,0,0,52.0,4,100,1,3.0
2012,8,2,0,1,89.0,4,100,1,2.0
2012,7,1,0,1,28.0,1,100,9,3.0
2012,6,2,0,1,57.0,4,100,1,3.0
2012,7,1,0,0,46.0,1,100,4,2.0
2012,7,1,0,1,12.0,1,100,1,1.0
